type,dist,longitude,latitude
A2,東區,120.992131,24.814666
A2,東區,121.023939,24.781459
A2,香山區,120.917884,24.726917
A2,北區,120.955658,24.809912
A2,東區,120.993617,24.798976
A2,東區,120.990433,24.801537
A2,東區,120.972171,24.795077
A2,東區,121.012661,24.785098
A2,東區,120.974712,24.816288
A2,北區,120.95756,24.816713
A2,東區,121.016974,24.768576
A2,北區,120.967667,24.805939
A2,東區,120.972152,24.810049
A2,東區,120.972343,24.808018
A2,香山區,120.930417,24.792399
A2,北區,120.949383,24.801751
A2,香山區,120.929729,24.788712
A2,東區,120.967391,24.795567
A2,東區,120.97933,24.815772
A2,北區,120.931111,24.842452
A2,香山區,120.940837,24.796143
A2,東區,121.017368,24.805626
A2,東區,120.967615,24.799538
A2,東區,120.95953,24.796154
A2,東區,120.9694,24.795578
A2,香山區,120.907503,24.750775
A2,東區,121.014537,24.766346
A2,東區,121.011238,24.776046
A2,東區,120.969563,24.805404
A2,東區,121.00159,24.793512
A2,東區,120.963128,24.793385
A2,東區,120.987027,24.811281
A2,東區,120.993301,24.784307
A2,東區,120.996579,24.822943
A2,東區,121.02011,24.780037
A2,香山區,120.945607,24.793821
A2,東區,121.005041,24.780976
A2,東區,121.01526,24.793297
A2,東區,121.002191,24.793865
A2,東區,120.972945,24.770852
A2,北區,120.965394,24.815778
A2,東區,120.980635,24.81327
A2,北區,120.96092,24.809534
A2,東區,121.016994,24.799667
A2,東區,121.02054,24.781748
A2,香山區,120.942285,24.805019
A2,香山區,120.898459,24.744446
A2,東區,121.001896,24.795517
A2,北區,120.968648,24.810101
A2,東區,120.98358,24.809631
A2,香山區,120.949842,24.800087
A2,東區,120.996086,24.776142
A2,東區,120.96814,24.801479
A2,香山區,120.931258,24.789638
A2,北區,120.965154,24.815995
A2,東區,120.985964,24.806473
A2,東區,120.969046,24.804136
A2,北區,120.978685,24.823528
A2,東區,121.024785,24.77924
A2,東區,120.966635,24.800517
A2,北區,120.972092,24.819023
A2,北區,120.968825,24.808433
A2,東區,120.973931,24.808637
A2,北區,120.966428,24.810419
A2,北區,120.95515,24.827734
A2,北區,120.962977,24.807828
A2,北區,120.966795,24.818596
A2,北區,120.96125,24.805411
A2,東區,121.006473,24.7753
A2,北區,120.963745,24.809487
A2,東區,121.024976,24.778876
A2,東區,121.008413,24.797813
A2,東區,121.014356,24.785643
A2,東區,120.968541,24.802844
A2,香山區,120.953494,24.79916
A2,東區,121.010633,24.786782
A2,北區,120.948197,24.804997
A2,北區,120.967835,24.813145
A2,北區,120.965892,24.808418
A2,東區,120.960144,24.794739
A2,東區,120.975062,24.796379
A2,北區,120.964368,24.811755
A2,北區,120.945866,24.805075
A2,東區,120.977127,24.814508
A2,北區,120.967127,24.801397
A2,東區,120.969655,24.813862
A2,東區,120.98595,24.806471
A2,東區,121.015896,24.785524
A2,北區,120.92071,24.835307
A2,東區,120.979872,24.813219
A2,東區,121.004282,24.787207
A2,東區,120.988933,24.815347
A2,香山區,120.930339,24.785171
A2,東區,120.981631,24.808845
A2,北區,120.960313,24.820939
A2,北區,120.95732,24.816504
A2,東區,120.969238,24.801757
A2,東區,121.003471,24.79936
A2,東區,120.970267,24.801341
A2,東區,120.979634,24.814698
A2,東區,120.963941,24.795191
A2,東區,121.024086,24.782437
A2,東區,120.960707,24.79673
A2,北區,120.930824,24.842189
A2,香山區,120.976959,24.785184
A2,東區,120.990344,24.774798
A2,東區,120.967254,24.777389
A2,北區,120.970152,24.818387
A2,北區,120.960464,24.801325
A2,東區,121.01841,24.803898
A2,北區,120.953566,24.832429
A2,北區,120.966814,24.817452
A2,香山區,120.974312,24.797418
A2,香山區,120.934869,24.804453
A2,北區,120.971628,24.818622
A2,東區,120.978858,24.808801
A2,東區,120.976655,24.812542
A2,東區,120.968029,24.799805
A2,東區,120.982529,24.808958
A2,北區,120.962877,24.805535
A2,香山區,120.945057,24.804473
A2,北區,120.944019,24.83623
A2,東區,120.972141,24.804161
A2,東區,120.975857,24.809323
A2,東區,121.012471,24.783385
A2,北區,120.967393,24.801007
A2,北區,120.967878,24.809643
A2,東區,120.984724,24.802367
A2,香山區,120.972706,24.794534
A2,香山區,120.953921,24.800038
A2,北區,120.946505,24.834361
A2,北區,120.958544,24.79661
A2,北區,120.966393,24.803772
A2,北區,120.960724,24.809555
A2,北區,120.961545,24.815472
A2,東區,121.009456,24.787512
A2,北區,120.96544,24.799826
A2,東區,120.960741,24.809565
A2,北區,120.96047,24.801368
A2,香山區,120.952538,24.796429
A2,東區,121.015155,24.775805
A2,香山區,120.927355,24.787509
A2,東區,120.966084,24.804979
A2,北區,120.970251,24.822681
A2,東區,121.006458,24.780708
A2,東區,121.004282,24.787207
A2,北區,120.9577,24.810586
A2,東區,120.997698,24.774839
A2,北區,120.964432,24.813654
A2,北區,120.964364,24.803539
A2,北區,120.968154,24.805306
A2,東區,120.967852,24.800274
A2,東區,121.008613,24.788098
A2,香山區,120.951144,24.799257
A2,北區,120.969186,24.819326
A2,東區,120.964776,24.803071
A2,北區,120.930768,24.842337
A2,東區,121.008475,24.797811
A2,香山區,120.919435,24.793463
A2,東區,120.977655,24.81317
A2,東區,120.966309,24.77303
A2,北區,120.970947,24.8243
A2,東區,121.024166,24.779715
A2,北區,120.953047,24.804984
A2,東區,120.965955,24.797538
A2,東區,120.962556,24.798603
A2,北區,120.978282,24.819377
A2,東區,121.011721,24.786061
A2,北區,120.929074,24.844757
A2,北區,120.954652,24.80503
A2,北區,120.956108,24.797709
A2,東區,120.979438,24.782954
A2,北區,120.921788,24.845321
A2,香山區,120.961698,24.762763
A2,北區,120.965386,24.806065
A2,北區,120.951021,24.80504
A2,東區,120.997475,24.77495
A2,香山區,120.930417,24.792399
A2,北區,120.93043,24.838952
A2,北區,120.962233,24.805186
A2,東區,120.990625,24.801761
A2,北區,120.974605,24.813448
A2,北區,120.953857,24.801671
A2,北區,120.974712,24.816287
A2,北區,120.959494,24.798961
A2,東區,120.972937,24.808919
A2,東區,121.009075,24.79121
A2,香山區,120.976146,24.797335
A2,東區,120.966254,24.798707
A2,東區,120.991618,24.79944
A2,北區,120.932755,24.839314
A2,東區,120.974221,24.814364
A2,東區,120.995723,24.797569
A2,北區,120.963971,24.802596
A2,東區,120.998543,24.782573
A2,香山區,120.942536,24.792493
A2,東區,120.983124,24.809343
A2,東區,120.967918,24.799099
A2,北區,120.977326,24.823142
A2,東區,120.962912,24.793205
A2,東區,120.986932,24.802675
A2,東區,120.980697,24.813011
A2,東區,120.980485,24.795405
A2,東區,121.016598,24.775579
A2,東區,121.017337,24.788651
A2,東區,121.010656,24.786773
A2,東區,120.977314,24.797711
A2,東區,121.017106,24.783571
A2,東區,120.970213,24.804056
A2,北區,120.968615,24.806557
A2,北區,120.954849,24.831802
A2,東區,120.982329,24.811143
A2,香山區,120.95605,24.784557
A2,東區,120.97652,24.806379
A2,東區,120.999757,24.797185
A2,東區,120.972974,24.812803
A2,東區,120.975645,24.811933
A2,東區,120.975035,24.804321
A2,香山區,120.930807,24.790956
A2,東區,120.984275,24.809702
A2,東區,120.997951,24.796058
A2,香山區,120.94955,24.798497
A2,東區,121.007885,24.773927
A2,香山區,120.984782,24.777709
A2,東區,121.017411,24.783402
A2,東區,121.00335,24.788905
A2,北區,120.963033,24.813821
